accepted_pages,category,evidence_recall,expected_evidence_count,final_found,loss_stage,mrr,query_type,question_id,report_id,selected_pages
[12],monetary_policy,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_04,"[18, 112, 12, 100, 107]"
[10],monetary_policy,0.0,1,True,evidence_found,0.2,pairwise_comparison,cmp_dev_002,rbi_mpr_2025_10,"[11, 68, 66, 104, 10]"
[14],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_04,"[14, 19, 14, 14, 20]"
[12],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_003,rbi_mpr_2025_10,"[12, 12, 21, 13, 21]"
[14],global_growth,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_04,"[21, 101, 15, 101, 11]"
[12],global_growth,1.0,1,True,evidence_found,0.5,pairwise_comparison,cmp_dev_004,rbi_mpr_2025_10,"[9, 12, 9, 13, 21]"
[10],food_inflation,1.0,1,True,evidence_found,0.25,pairwise_comparison,cmp_dev_005,rbi_mpr_2025_10,"[26, 11, 32, 10, 14]"
[5],food_inflation,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,cmp_dev_005,rbi_mpr_2026_04,"[82, 81, 86, 91, 115]"
[10],monetary_policy,0.0,1,True,evidence_found,0.2,pairwise_comparison,cmp_dev_006,rbi_mpr_2025_10,"[66, 74, 68, 110, 10]"
[26],monetary_policy,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_006,rbi_mpr_2026_04,"[20, 86, 30, 56, 60]"
[12],global_growth,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_007,rbi_mpr_2025_10,"[17, 95, 12, 9, 9]"
[5],global_growth,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,cmp_dev_007,rbi_mpr_2026_04,"[105, 13, 56, 102, 106]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_008,rbi_mpr_2025_10,"[52, 52, 66, 74, 32]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_008,rbi_mpr_2026_04,"[30, 56, 64, 100, 102]"
[13],growth_outlook,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_009,rbi_mpr_2025_04,"[20, 20, 44, 48, 47]"
[101],growth_outlook,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_009,rbi_mpr_2026_04,"[46, 102, 96, 76, 74]"
[13],inflation_outlook,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_010,rbi_mpr_2025_04,"[18, 105, 46, 19, 17]"
[103],inflation_outlook,0.0,1,False,lost_in_fusion,0.0,pairwise_comparison,cmp_dev_010,rbi_mpr_2026_04,"[108, 82, 102, 95, 108]"
[14],commodity_assumptions,1.0,1,True,evidence_found,1.0,pairwise_comparison,cmp_dev_011,rbi_mpr_2025_04,"[14, 18, 14, 14, 22]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,pairwise_comparison,cmp_dev_011,rbi_mpr_2026_04,"[113, 34, 114, 105, 111]"
[57],fiscal_borrowing,1.0,1,True,lost_by_quota,0.2,pairwise_comparison,cmp_dev_012,rbi_mpr_2025_04,"[54, 18, 76, 78, 57]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.3333333333333333,pairwise_comparison,cmp_dev_012,rbi_mpr_2026_04,"[65, 46, 64, 5, 60]"
[12],food_inflation,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_001,rbi_mpr_2025_04,"[38, 42, 25, 30]"
[10],food_inflation,0.0,1,False,lost_in_fusion,0.0,trend_all_reports,trend_dev_001,rbi_mpr_2025_10,"[26, 23, 31, 35]"
[5],food_inflation,1.0,1,True,evidence_found,0.3333333333333333,trend_all_reports,trend_dev_001,rbi_mpr_2026_04,"[101, 83, 5, 82]"
[12],monetary_policy,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_002,rbi_mpr_2025_04,"[108, 60, 108, 16]"
[10],monetary_policy,0.0,1,False,lost_by_quota,0.0,trend_all_reports,trend_dev_002,rbi_mpr_2025_10,"[76, 104, 11, 106]"
[26],monetary_policy,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_002,rbi_mpr_2026_04,"[20, 14, 20, 20]"
[14],commodity_assumptions,1.0,1,True,evidence_found,1.0,trend_all_reports,trend_dev_003,rbi_mpr_2025_04,"[14, 20, 14, 19]"
[12],commodity_assumptions,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_dev_003,rbi_mpr_2025_10,"[13, 12, 22, 34]"
[5],commodity_assumptions,0.0,1,False,lost_by_quota,0.0,trend_all_reports,trend_dev_003,rbi_mpr_2026_04,"[105, 112, 114, 105]"
[14],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_004,rbi_mpr_2025_04,"[20, 66, 21, 99]"
[12],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_004,rbi_mpr_2025_10,"[42, 21, 43, 61]"
[5],global_growth,0.0,1,False,not_in_candidate_union,0.0,trend_all_reports,trend_dev_004,rbi_mpr_2026_04,"[100, 102, 112, 111]"
[57],fiscal_borrowing,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_dev_005,rbi_mpr_2025_04,"[78, 57, 82, 82]"
[52],fiscal_borrowing,1.0,1,True,evidence_found,1.0,trend_all_reports,trend_dev_005,rbi_mpr_2025_10,"[52, 52, 88, 102]"
[64],fiscal_borrowing,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_dev_005,rbi_mpr_2026_04,"[65, 64, 64, 7]"
[13],monetary_policy,1.0,1,True,evidence_found,0.3333333333333333,trend_all_reports,trend_dev_006,rbi_mpr_2025_04,"[78, 12, 13, 78]"
[11],monetary_policy,1.0,1,True,evidence_found,1.0,trend_all_reports,trend_dev_006,rbi_mpr_2025_10,"[11, 10, 73, 66]"
[26],monetary_policy,1.0,1,True,evidence_found,0.5,trend_all_reports,trend_dev_006,rbi_mpr_2026_04,"[102, 26, 103, 102]"
